temperature,iterations,malus_avg
0.9000000000000001,39,-1914.6666666666667
1.1000000000000003,10,-1969.5333333333333
1.1000000000000003,11,-2000.4
1.1000000000000003,12,-1996.7333333333333
1.1000000000000003,13,-1973.9333333333334
1.1000000000000003,14,-2001.9333333333334
1.1000000000000003,15,-1946.9333333333334
1.1000000000000003,16,-1950.8666666666666
1.1000000000000003,17,-1924.0666666666666
1.1000000000000003,18,-1934.6
1.1000000000000003,19,-1963.7333333333333
1.1000000000000003,20,-1931.8666666666666
1.1000000000000003,21,-1970.1333333333334
1.1000000000000003,22,-1967.7333333333333
1.1000000000000003,23,-2006.4666666666667
1.1000000000000003,24,-1922.7333333333333
1.1000000000000003,25,-1922.6666666666667
1.1000000000000003,26,-1945.8
1.1000000000000003,27,-1935.0
1.1000000000000003,28,-1915.8
